disease,cell_type,n_cells,TNIP1_mean,TNIP1_pct,HLA-C_mean,HLA-C_pct,HLA-B_mean,HLA-B_pct,TYK2_mean,TYK2_pct,IL12B_mean,IL12B_pct
normal,"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",20,0.55,35.0,19.55,100.0,18.75,100.0,0.0,0.0,0.0,0.0
normal,double negative thymocyte,19,0.6316,42.1,2.0526,63.2,1.3684,26.3,0.0,0.0,0.0,0.0
normal,chondrocyte,18,0.2778,27.8,0.0,0.0,0.0,0.0,0.1111,11.1,0.0,0.0
normal,"effector memory CD8-positive, alpha-beta T cell",16,0.625,31.2,14.75,100.0,22.125,100.0,0.125,6.2,0.0,0.0
normal,Kupffer cell,11,1.0,54.5,5.0,100.0,10.4545,90.9,0.0909,9.1,0.0,0.0
normal,cord blood hematopoietic stem cell,8,0.0,0.0,0.125,12.5,0.0,0.0,0.0,0.0,0.0,0.0
normal,professional antigen presenting cell,8,0.125,12.5,0.0,0.0,0.75,50.0,0.125,12.5,0.0,0.0
normal,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",7,0.5714,28.6,15.0,100.0,15.8571,100.0,0.0,0.0,0.0,0.0
normal,memory B cell,7,0.1429,14.3,8.7143,85.7,24.2857,100.0,0.0,0.0,0.0,0.0
normal,"CD16-negative, CD56-bright natural killer cell, human",6,0.6667,50.0,10.5,100.0,12.6667,100.0,0.1667,16.7,0.0,0.0
normal,basal cell,6,0.0,0.0,0.0,0.0,0.1667,16.7,0.0,0.0,0.0,0.0
normal,pre-conventional dendritic cell,6,1.8333,66.7,6.8333,100.0,6.3333,100.0,0.3333,16.7,0.0,0.0
normal,immature innate lymphoid cell,5,1.4,100.0,14.8,100.0,22.8,100.0,0.0,0.0,0.0,0.0
normal,progenitor cell,5,0.0,0.0,0.2,20.0,0.8,60.0,0.0,0.0,0.0,0.0
normal,"CD16-positive, CD56-dim natural killer cell, human",3,0.0,0.0,13.0,100.0,26.6667,100.0,0.0,0.0,0.0,0.0
normal,gamma-delta T cell,3,1.6667,100.0,20.0,100.0,15.0,100.0,0.0,0.0,0.0,0.0
normal,naive B cell,3,0.0,0.0,1.3333,100.0,2.0,66.7,0.0,0.0,0.0,0.0
normal,group 1 innate lymphoid cell,2,0.0,0.0,9.0,100.0,16.0,100.0,0.0,0.0,0.0,0.0
normal,B cell,1,1.0,100.0,2.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0
normal,"central memory CD8-positive, alpha-beta T cell",1,0.0,0.0,25.0,100.0,28.0,100.0,0.0,0.0,0.0,0.0
normal,classical monocyte,1,3.0,100.0,3.0,100.0,15.0,100.0,0.0,0.0,0.0,0.0
normal,embryonic stem cell,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,enteroendocrine cell,1,0.0,0.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0
normal,hepatocyte,1,0.0,0.0,5.0,100.0,6.0,100.0,1.0,100.0,0.0,0.0
normal,mesothelial cell,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,mucosal invariant T cell,1,0.0,0.0,18.0,100.0,12.0,100.0,0.0,0.0,0.0,0.0
normal,myeloid dendritic cell,1,0.0,0.0,3.0,100.0,5.0,100.0,0.0,0.0,0.0,0.0
normal,osteoclast,1,7.0,100.0,3.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0
normal,renal intercalated cell,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psoriasis,suprabasal keratinocyte,2355,0.3826,24.8,0.0,0.0,0.0,0.0,0.3601,25.5,0.0021,0.2
psoriasis,pericyte,2140,0.8963,40.5,0.0,0.0,0.0,0.0,0.1799,14.1,0.0005,0.0
psoriasis,endothelial cell,1923,1.882,51.2,0.0,0.0,0.0,0.0,0.506,30.4,0.0026,0.3
psoriasis,spinous cell of epidermis,1341,0.4385,25.2,0.0,0.0,0.0,0.0,0.3154,22.3,0.0007,0.1
psoriasis,fibroblast of papillary layer of dermis,917,0.5583,32.0,0.0,0.0,0.0,0.0,0.1429,12.4,0.0,0.0
psoriasis,granular cell of epidermis,706,0.4674,25.6,0.0,0.0,0.0,0.0,0.4136,29.7,0.0,0.0
psoriasis,cytotoxic T cell,697,0.505,29.7,0.0,0.0,0.0,0.0,0.1133,10.2,0.0,0.0
psoriasis,skin fibroblast,495,0.8566,40.0,0.0,0.0,0.0,0.0,0.1535,12.5,0.0,0.0
psoriasis,fibroblast,442,0.638,31.9,0.0,0.0,0.0,0.0,0.1787,14.7,0.0,0.0
psoriasis,hair follicular keratinocyte,409,0.5892,30.6,0.0,0.0,0.0,0.0,0.1736,14.2,0.0,0.0
psoriasis,"dendritic cell, human",237,1.3122,40.9,0.0,0.0,0.0,0.0,0.5359,37.6,0.0,0.0
psoriasis,basal cell of epidermis,207,0.5652,34.3,0.0,0.0,0.0,0.0,0.5556,38.6,0.0048,0.5
psoriasis,monocyte,187,1.4011,43.9,0.0,0.0,0.0,0.0,0.3155,24.1,0.0,0.0
psoriasis,endothelial cell of lymphatic vessel,163,0.3067,19.0,0.0,0.0,0.0,0.0,0.184,14.7,0.0,0.0
psoriasis,helper T cell,163,0.9571,47.9,0.0,0.0,0.0,0.0,0.2883,20.9,0.0,0.0
psoriasis,regulatory T cell,119,1.0336,48.7,0.0,0.0,0.0,0.0,0.1849,15.1,0.0,0.0
psoriasis,macrophage,117,0.2479,19.7,0.0,0.0,0.0,0.0,0.1795,15.4,0.0,0.0
psoriasis,melanocyte of skin,49,0.2449,18.4,0.0,0.0,0.0,0.0,0.2041,18.4,0.0,0.0
psoriasis,natural killer cell,49,0.2245,14.3,0.0,0.0,0.0,0.0,0.0612,6.1,0.0,0.0
psoriasis,Langerhans cell,22,0.0909,9.1,0.0,0.0,0.0,0.0,0.1364,9.1,0.0,0.0
psoriasis,erythrocyte,19,0.1053,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
